x,y,z,data
250,150,154.8125,2.26E-02
350,150,154.8125,2.03E-02
450,150,154.8125,4.67E-02
550,150,154.8125,7.85E-02
650,150,154.8125,9.16E-02
750,150,154.8125,5.97E-02
850,150,154.8125,0
950,150,154.8125,0
1050,150,154.8125,0
1150,150,154.8125,1.506217
1250,150,154.8125,2.27999997
1350,150,154.8125,1.74200904
1450,150,154.8125,1.49912047
1550,150,154.8125,1.88242245
1650,150,154.8125,1.83862305
1750,150,154.8125,0.547600985
1850,150,154.8125,0
1950,150,154.8125,0
2050,150,154.8125,1.39956498
2150,150,154.8125,1.72181547
2250,150,154.8125,1.47140789
2350,150,154.8125,1.16715086
2450,150,154.8125,2.22255039
2550,150,154.8125,2.27999997
2650,150,154.8125,0.541010261
2750,150,154.8125,0
2850,150,154.8125,3.03E-02
2950,150,154.8125,0.180299923
3050,150,154.8125,0.161839515
3150,150,154.8125,0.114424586
3250,150,154.8125,9.25E-02
3350,150,154.8125,9.95E-02
3450,150,154.8125,0.121327378
3550,150,154.8125,0.123931274
3650,150,154.8125,1.91E-02
3750,150,154.8125,0
3850,150,154.8125,0
3950,150,154.8125,0.952774584
4050,150,154.8125,1.47793806
4150,150,154.8125,1.36420166
4250,150,154.8125,1.41409767
4350,150,154.8125,1.74709058
4450,150,154.8125,1.65890193
4550,150,154.8125,0.571791828
4650,150,154.8125,0.130557463
4750,150,154.8125,0.276089936
4850,150,154.8125,0.172050431
4950,150,154.8125,8.86E-02
5050,150,154.8125,4.42E-02
5150,150,154.8125,3.04E-02
5250,150,154.8125,2.33E-02
5350,150,154.8125,1.91E-02
5450,150,154.8125,1.32E-02
5550,150,154.8125,9.09E-03
5650,150,154.8125,7.51E-03
5750,150,154.8125,7.66E-03
5850,150,154.8125,3.20E-05
5950,150,154.8125,3.16E-02
50,250,154.8125,0.751609862
150,250,154.8125,0.272293806
250,250,154.8125,3.54E-02
350,250,154.8125,3.28E-02
450,250,154.8125,6.22E-02
550,250,154.8125,9.66E-02
650,250,154.8125,0.107862435
750,250,154.8125,6.56E-02
850,250,154.8125,0
950,250,154.8125,0
1050,250,154.8125,0
1150,250,154.8125,1.23435867
1250,250,154.8125,2.16839361
1350,250,154.8125,1.47966409
1450,250,154.8125,1.25954163
1550,250,154.8125,1.67686415
1650,250,154.8125,1.70954335
1750,250,154.8125,0.492465138
1850,250,154.8125,0
1950,250,154.8125,0
