x,y,z,data
150,250,154.8125,0.319296032
250,250,154.8125,0.175049067
350,250,154.8125,3.85E-02
450,250,154.8125,0
550,250,154.8125,0
650,250,154.8125,0
750,250,154.8125,0
850,250,154.8125,0
950,250,154.8125,0
1050,250,154.8125,4.23E-02
1150,250,154.8125,0.571336687
1250,250,154.8125,1.11128998
1350,250,154.8125,1.37498724
1450,250,154.8125,1.45130432
1550,250,154.8125,1.30570245
1650,250,154.8125,0.920290649
1750,250,154.8125,0.375873864
1850,250,154.8125,1.49E-02
1950,250,154.8125,8.38E-02
2050,250,154.8125,0.517174065
2150,250,154.8125,0.952373683
2250,250,154.8125,1.25848258
2350,250,154.8125,1.48058307
2450,250,154.8125,1.52931643
2550,250,154.8125,1.30693471
2650,250,154.8125,0.79123503
2750,250,154.8125,0.306841046
2850,250,154.8125,9.41E-02
2950,250,154.8125,4.68E-02
3050,250,154.8125,7.37E-02
3150,250,154.8125,9.98E-02
3250,250,154.8125,9.53E-02
3350,250,154.8125,5.68E-02
3450,250,154.8125,3.40E-03
3550,250,154.8125,0
3650,250,154.8125,0
3750,250,154.8125,0
3850,250,154.8125,2.44E-02
3950,250,154.8125,0.403342456
4050,250,154.8125,0.853031278
4150,250,154.8125,1.14821804
4250,250,154.8125,1.35701048
4350,250,154.8125,1.36932266
4450,250,154.8125,1.17107034
4550,250,154.8125,0.817811906
4650,250,154.8125,0.459971428
4750,250,154.8125,0.259605527
4850,250,154.8125,0.159450054
4950,250,154.8125,0.107740514
5050,250,154.8125,8.97E-02
5150,250,154.8125,6.11E-02
5250,250,154.8125,4.75E-02
5350,250,154.8125,3.64E-02
5450,250,154.8125,2.50E-02
5550,250,154.8125,1.60E-02
5650,250,154.8125,9.54E-03
5750,250,154.8125,5.95E-03
5850,250,154.8125,4.97E-03
5950,250,154.8125,4.43E-03
50,350,154.8125,0.390897959
150,350,154.8125,0.306587428
250,350,154.8125,0.166629925
350,350,154.8125,3.60E-02
450,350,154.8125,0
550,350,154.8125,0
650,350,154.8125,0
750,350,154.8125,0
850,350,154.8125,0
950,350,154.8125,0
1050,350,154.8125,4.02E-02
1150,350,154.8125,0.540615499
1250,350,154.8125,1.04306757
1350,350,154.8125,1.3218776
1450,350,154.8125,1.38088048
1550,350,154.8125,1.24694133
1650,350,154.8125,0.871566951
1750,350,154.8125,0.34072578
1850,350,154.8125,3.78E-03
1950,350,154.8125,7.44E-02
2050,350,154.8125,0.46921289
2150,350,154.8125,0.915653884
2250,350,154.8125,1.20791423
2350,350,154.8125,1.40738165
2450,350,154.8125,1.48228753
2550,350,154.8125,1.25470912
2650,350,154.8125,0.762962759
2750,350,154.8125,0.311213255
2850,350,154.8125,8.22E-02
2950,350,154.8125,4.51E-02
3050,350,154.8125,6.83E-02
3150,350,154.8125,9.24E-02
3250,350,154.8125,8.81E-02
3350,350,154.8125,5.22E-02
3450,350,154.8125,3.18E-03
3550,350,154.8125,0
3650,350,154.8125,0
3750,350,154.8125,0
3850,350,154.8125,2.03E-02
3950,350,154.8125,0.392817467
4050,350,154.8125,0.808440149
4150,350,154.8125,1.12368512
4250,350,154.8125,1.29201043
4350,350,154.8125,1.33826017
4450,350,154.8125,1.14436281
4550,350,154.8125,0.786293089
4650,350,154.8125,0.453448832
4750,350,154.8125,0.262504756
4850,350,154.8125,0.162424847
4950,350,154.8125,0.114535667
5050,350,154.8125,7.17E-02
5150,350,154.8125,6.49E-02
5250,350,154.8125,4.61E-02
5350,350,154.8125,3.43E-02
5450,350,154.8125,2.40E-02
5550,350,154.8125,1.53E-02
5650,350,154.8125,9.24E-03
5750,350,154.8125,5.87E-03
5850,350,154.8125,4.84E-03
5950,350,154.8125,4.45E-03
50,450,154.8125,0.352505147
150,450,154.8125,0.276738942
250,450,154.8125,0.149207205
350,450,154.8125,3.16E-02
450,450,154.8125,0
550,450,154.8125,0
650,450,154.8125,0
750,450,154.8125,0
850,450,154.8125,0
950,450,154.8125,0
1050,450,154.8125,1.86E-02
1150,450,154.8125,0.463433236
1250,450,154.8125,0.927626193
1350,450,154.8125,1.16664028
1450,450,154.8125,1.23933697
1550,450,154.8125,1.11004913
1650,450,154.8125,0.755977511
1750,450,154.8125,0.300605655
1850,450,154.8125,0
1950,450,154.8125,4.49E-02
2050,450,154.8125,0.406850487
2150,450,154.8125,0.793748856
