lon,lat,grav,elev
102.5361692,24.31816917,978497.57,1656.486
102.5361692,24.32383875,978497.57,1656.486
102.5361692,24.32950833,978499.964,1627.445
102.5361692,24.33517792,978500.645,1631.409
102.5361692,24.3408475,978502.215,1635.539
102.5361692,24.34651708,978499.206,1637.648
102.5361692,24.35218667,978498.832,1639.126
102.5361692,24.35785625,978498.581,1624.191
102.5361692,24.36352583,978498.227,1623.724
102.5361692,24.36919542,978497.561,1623.409
102.5361692,24.374865,978493.216,1628.582
102.5361692,24.38053458,978493.216,1628.582
102.5361692,24.38620417,978492.056,1627.997
102.5361692,24.39187375,978490.555,1631.287
102.5361692,24.39754333,978488.327,1638.915
102.5361692,24.40321292,978488.396,1633.418
102.5361692,24.4088825,978486.229,1638.161
102.5361692,24.41455208,978485.552,1641.395
102.5361692,24.42022167,978485.481,1644.644
102.5361692,24.42589125,978485.295,1650.014
102.5361692,24.43156083,978485.74,1654.554
102.5361692,24.43723042,978486.064,1659.956
102.5361692,24.4429,978486.59,1659.767
102.541955,24.30683,978497.57,1656.486
102.541955,24.31249958,978497.57,1656.486
102.541955,24.31816917,978497.57,1656.486
102.541955,24.32383875,978497.57,1656.486
102.541955,24.32950833,978500.645,1631.409
102.541955,24.33517792,978502.215,1635.539
102.541955,24.3408475,978499.206,1637.648
102.541955,24.34651708,978499.175,1639.56
102.541955,24.35218667,978499.423,1637.977
102.541955,24.35785625,978498.091,1631.559
102.541955,24.36352583,978499.251,1627.01
102.541955,24.36919542,978498.581,1624.191
102.541955,24.374865,978493.216,1628.582
102.541955,24.38053458,978493.216,1628.582
102.541955,24.38620417,978493.1,1633.976
102.541955,24.39187375,978492.725,1633.145
102.541955,24.39754333,978489.85,1639.077
102.541955,24.40321292,978489.788,1637.038
102.541955,24.4088825,978486.134,1641.546
102.541955,24.41455208,978486.047,1643.673
102.541955,24.42022167,978486.12,1646.83
102.541955,24.42589125,978485.803,1651.483
102.541955,24.43156083,978485.763,1655.813
102.541955,24.43723042,978485.371,1660.8
102.541955,24.4429,978485.322,1661.163
102.5477408,24.30683,978497.57,1656.486
102.5477408,24.31249958,978497.57,1656.486
102.5477408,24.31816917,978497.57,1656.486
102.5477408,24.32383875,978497.57,1656.486
102.5477408,24.32950833,978502.215,1635.539
102.5477408,24.33517792,978500.159,1637.062
102.5477408,24.3408475,978499.175,1639.56
102.5477408,24.34651708,978499.423,1637.977
102.5477408,24.35218667,978497.872,1639.999
102.5477408,24.35785625,978498.758,1634.358
102.5477408,24.36352583,978498.16,1632.409
102.5477408,24.36919542,978499.251,1627.01
102.5477408,24.374865,978493.216,1628.582
102.5477408,24.38053458,978493.216,1628.582
102.5477408,24.38620417,978493.1,1633.976
102.5477408,24.39187375,978493.075,1636.605
102.5477408,24.39754333,978490.721,1645.41
102.5477408,24.40321292,978490.189,1639.943
102.5477408,24.4088825,978490.046,1640.791
102.5477408,24.41455208,978486.416,1648.189
102.5477408,24.42022167,978487.037,1648.89
102.5477408,24.42589125,978487.83,1652.6
102.5477408,24.43156083,978487.439,1658.169
102.5477408,24.43723042,978486.71,1658.794
102.5477408,24.4429,978485.7,1660.089
102.5535267,24.30683,978497.57,1656.486
102.5535267,24.31249958,978497.57,1656.486
102.5535267,24.31816917,978497.57,1656.486
102.5535267,24.32383875,978497.57,1656.486
102.5535267,24.32950833,978497.879,1659.459
102.5535267,24.33517792,978497.879,1659.459
102.5535267,24.3408475,978497.879,1659.459
102.5535267,24.34651708,978497.879,1659.459
102.5535267,24.35218667,978498.133,1649.909
102.5535267,24.35785625,978499.346,1636.857
102.5535267,24.36352583,978500.362,1638.113
102.5535267,24.36919542,978500.552,1642.999
102.5535267,24.374865,978499.862,1635.225
102.5535267,24.38053458,978499.473,1635.363
102.5535267,24.38620417,978497.256,1636.627
102.5535267,24.39187375,978496.335,1637.127
102.5535267,24.39754333,978495.533,1637.808
102.5535267,24.40321292,978490.413,1641.977
102.5535267,24.4088825,978490.697,1643.452
102.5535267,24.41455208,978490.37,1646.683
102.5535267,24.42022167,978490.791,1648.706
102.5535267,24.42589125,978488.658,1656.246
102.5535267,24.43156083,978492.942,1657.029
102.5535267,24.43723042,978490.482,1659.713
102.5535267,24.4429,978490.775,1663.334
102.5593125,24.30683,978497.57,1656.486
102.5593125,24.31249958,978497.57,1656.486
102.5593125,24.31816917,978497.57,1656.486
102.5593125,24.32383875,978497.879,1659.459
102.5593125,24.32950833,978497.879,1659.459
102.5593125,24.33517792,978497.879,1659.459
102.5593125,24.3408475,978497.879,1659.459
102.5593125,24.34651708,978497.879,1659.459
102.5593125,24.35218667,978497.879,1659.459
102.5593125,24.35785625,978500.82,1640.091
102.5593125,24.36352583,978500.552,1642.999
102.5593125,24.36919542,978500.133,1635.186
102.5593125,24.374865,978499.862,1635.225
102.5593125,24.38053458,978499.473,1635.363
102.5593125,24.38620417,978498.633,1637.359
102.5593125,24.39187375,978498.315,1636.509
102.5593125,24.39754333,978498.026,1636.478
102.5593125,24.40321292,978490.553,1642.851
102.5593125,24.4088825,978490.784,1644.368
102.5593125,24.41455208,978490.791,1648.706
102.5593125,24.42022167,978490.73,1654.236
102.5593125,24.42589125,978490.099,1656.491
102.5593125,24.43156083,978490.775,1663.334
102.5593125,24.43723042,978490.775,1663.334
102.5593125,24.4429,978491.127,1669.802
102.5650983,24.30683,978497.57,1656.486
102.5650983,24.31249958,978497.57,1656.486
102.5650983,24.31816917,978497.879,1659.459
102.5650983,24.32383875,978497.879,1659.459
102.5650983,24.32950833,978497.879,1659.459
102.5650983,24.33517792,978497.879,1659.459
102.5650983,24.3408475,978497.879,1659.459
102.5650983,24.34651708,978497.879,1659.459
102.5650983,24.35218667,978497.879,1659.459
102.5650983,24.35785625,978500.433,1644.19
102.5650983,24.36352583,978498.465,1647.7
102.5650983,24.36919542,978500.133,1635.186
102.5650983,24.374865,978499.862,1635.225
102.5650983,24.38053458,978499.473,1635.363
102.5650983,24.38620417,978498.301,1641.603
102.5650983,24.39187375,978499.046,1638.499
102.5650983,24.39754333,978499.046,1638.499
102.5650983,24.40321292,978498.633,1637.359
102.5650983,24.4088825,978490.791,1648.706
102.5650983,24.41455208,978491.146,1657.609
102.5650983,24.42022167,978491.219,1656.067
102.5650983,24.42589125,978491.215,1662.229
102.5650983,24.43156083,978491.203,1664.537
102.5650983,24.43723042,978491.127,1669.802
102.5650983,24.4429,978491.902,1676.861
102.5708842,24.30683,978497.57,1656.486
102.5708842,24.31249958,978497.879,1659.459
102.5708842,24.31816917,978497.879,1659.459
