x,z,data
   5850.00000     ,   254.874985     ,   2.07734033E-02
   5950.00000     ,   254.874985     ,  0.115447432    
   6050.00000     ,   254.874985     ,   7.84684420E-02
   6150.00000     ,   254.874985     ,   2.71504885E-03
   6250.00000     ,   254.874985     ,   5.32581136E-02
   6350.00000     ,   254.874985     ,   4.44546901E-02
   6450.00000     ,   254.874985     ,  0.292102516    
   6550.00000     ,   254.874985     ,   4.28991020E-03
   6650.00000     ,   254.874985     ,   8.19982495E-03
   6750.00000     ,   254.874985     ,   4.65329224E-03
   6850.00000     ,   254.874985     ,   6.21450320E-03
   6950.00000     ,   254.874985     ,   3.47381197E-02
   7050.00000     ,   254.874985     ,   2.47034542E-02
   7150.00000     ,   254.874985     ,   1.86541378E-02
   7250.00000     ,   254.874985     ,   1.48711018E-02
   7350.00000     ,   254.874985     ,   1.64331321E-03
   7450.00000     ,   254.874985     ,   2.24922430E-02
   7550.00000     ,   254.874985     ,   2.40128897E-02
   7650.00000     ,   254.874985     ,   3.08907889E-02
   7750.00000     ,   254.874985     ,  0.183407411    
   7850.00000     ,   254.874985     ,   8.82793218E-03
   7950.00000     ,   254.874985     ,   2.07848717E-02
   8050.00000     ,   254.874985     ,   1.29712448E-02
   8150.00000     ,   254.874985     ,   3.57423574E-02
   8250.00000     ,   254.874985     ,   2.15246566E-02
   8350.00000     ,   254.874985     ,   5.23882024E-02
   8450.00000     ,   254.874985     ,   7.20075071E-02
   8550.00000     ,   254.874985     ,  0.108367406    
   8650.00000     ,   254.874985     ,   7.08139017E-02
   8750.00000     ,   254.874985     ,   2.64117587E-03
   8850.00000     ,   254.874985     ,   7.37391487E-02
   8950.00000     ,   254.874985     ,   0.00000000    
   9050.00000     ,   254.874985     ,  0.157865629    
   9150.00000     ,   254.874985     ,   9.75305066E-02
   9250.00000     ,   254.874985     ,   3.30941677E-02
   9350.00000     ,   254.874985     ,   4.08997014E-02
   9450.00000     ,   254.874985     ,  0.253876626    
   9550.00000     ,   254.874985     ,   4.54644896E-02
   9650.00000     ,   254.874985     ,   9.13236290E-03
   9750.00000     ,   254.874985     ,   4.25885106E-03
   9850.00000     ,   254.874985     ,   5.33009320E-03
   9950.00000     ,   254.874985     ,   9.81549993E-02
   10050.0000     ,   254.874985     ,   8.84782001E-02
   10150.0000     ,   254.874985     ,   5.22623118E-03
   10250.0000     ,   254.874985     ,   4.57359431E-03
   10350.0000     ,   254.874985     ,   1.53874364E-02
   10450.0000     ,   254.874985     ,   7.43713416E-03
   10550.0000     ,   254.874985     ,   4.89224382E-02
   10650.0000     ,   254.874985     ,   1.05106672E-02
   10750.0000     ,   254.874985     ,   4.39618772E-04
   10850.0000     ,   254.874985     ,   6.99598808E-03
   10950.0000     ,   254.874985     ,   8.98411572E-02
   11050.0000     ,   254.874985     ,  0.115853757    
   11150.0000     ,   254.874985     ,  0.211124405    
   11250.0000     ,   254.874985     ,  0.204296842    
   11350.0000     ,   254.874985     ,  0.137001827    
   11450.0000     ,   254.874985     ,   0.00000000    
   11550.0000     ,   254.874985     ,   3.05527449E-02
   11650.0000     ,   254.874985     ,   1.23418693E-03
   11750.0000     ,   254.874985     ,   7.59347081E-02
   11850.0000     ,   254.874985     ,  0.169133738    
   11950.0000     ,   254.874985     ,   6.43927827E-02
   12050.0000     ,   254.874985     ,   8.19073617E-02
   12150.0000     ,   254.874985     ,   7.86197092E-03
   12250.0000     ,   254.874985     ,  0.193714112    
   12350.0000     ,   254.874985     ,   7.36370534E-02
   12450.0000     ,   254.874985     ,   2.43963744E-03
   12550.0000     ,   254.874985     ,   3.57721117E-03
   12650.0000     ,   254.874985     ,  0.214844719    
   12750.0000     ,   254.874985     ,   0.00000000    
   12850.0000     ,   254.874985     ,   1.31770968E-02
   12950.0000     ,   254.874985     ,  0.159124836    
   13050.0000     ,   254.874985     ,   1.75166205E-02
   13150.0000     ,   254.874985     ,  0.112435967    
   13250.0000     ,   254.874985     ,  0.109386757    
   13350.0000     ,   254.874985     ,   8.44875071E-03
   13450.0000     ,   254.874985     ,   2.31358688E-03
   13550.0000     ,   254.874985     ,   2.68019140E-02
   13650.0000     ,   254.874985     ,   1.29580507E-02
   13750.0000     ,   254.874985     ,   8.61100405E-02
   13850.0000     ,   254.874985     ,  0.130635962    
   13950.0000     ,   254.874985     ,  0.201773360    
   14050.0000     ,   254.874985     ,  0.109786019    
   14150.0000     ,   254.874985     ,   3.51275243E-02
   14250.0000     ,   254.874985     ,   1.46642246E-03
   14350.0000     ,   254.874985     ,   1.35394640E-03
   14450.0000     ,   254.874985     ,   1.37493508E-02
   14550.0000     ,   254.874985     ,  0.130954340    
   14650.0000     ,   254.874985     ,   1.04155466E-02
   14750.0000     ,   254.874985     ,   4.32028435E-03
   14850.0000     ,   254.874985     ,   0.00000000    
   14950.0000     ,   254.874985     ,   6.41790703E-02
   50.0000000     ,   354.824982     ,   7.04898387E-02
   150.000000     ,   354.824982     ,   7.20939133E-03
   250.000000     ,   354.824982     ,   1.07146511E-02
   350.000000     ,   354.824982     ,   4.39943932E-02
   450.000000     ,   354.824982     ,   3.97074036E-02
   550.000000     ,   354.824982     ,   4.16967273E-02
   650.000000     ,   354.824982     ,   2.91609559E-02
   750.000000     ,   354.824982     ,   8.33707489E-03
   850.000000     ,   354.824982     ,   6.00084066E-02
   950.000000     ,   354.824982     ,   5.93242832E-02
   1050.00000     ,   354.824982     ,   2.09421711E-03
   1150.00000     ,   354.824982     ,   9.37825143E-02
   1250.00000     ,   354.824982     ,  0.155534521    
   1350.00000     ,   354.824982     ,  0.223324552    
   1450.00000     ,   354.824982     ,   5.87700494E-02
   1550.00000     ,   354.824982     ,   1.29973446E-03
   1650.00000     ,   354.824982     ,   1.10180201E-02
   1750.00000     ,   354.824982     ,   1.09993247E-02
   1850.00000     ,   354.824982     ,   1.48476325E-02
   1950.00000     ,   354.824982     ,   7.15638921E-02
   2050.00000     ,   354.824982     ,   0.00000000    
   2150.00000     ,   354.824982     ,   1.68108232E-02
   2250.00000     ,   354.824982     ,   4.17493433E-02
   2350.00000     ,   354.824982     ,   4.23384681E-02
   2450.00000     ,   354.824982     ,   4.83140685E-02
   2550.00000     ,   354.824982     ,   1.41889299E-03
   2650.00000     ,   354.824982     ,   4.26387675E-02
   2750.00000     ,   354.824982     ,   9.53049771E-03
   2850.00000     ,   354.824982     ,   6.55706320E-03
   2950.00000     ,   354.824982     ,   5.92177622E-02
   3050.00000     ,   354.824982     ,   5.56020699E-02
   3150.00000     ,   354.824982     ,  0.205411956    
